id,time,proj_id,proj_name,st-addr,contractor,lat,lon,yes_vote,no_vote,comment
1,2017-08-04 00:00:00,S-73-847-4899,Yellow Barrows goldeneye,68940 Eliot Pass,"Cummerata, Romaguera and Lemke",-32.5711982,-64.3878273,4275,3714,Integer a nibh.
2,2018-01-27 00:00:00,O-45-252-7366,Fuscia Hottentot teal,18547 Bayside Road,Romaguera-Waelchi,48.8708001,2.166848,6605,506,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero convallis eget eleifend luctus ultricies eu nibh. Quisque id justo sit amet sapien dignissim vestibulum.
3,2018-03-24 00:00:00,A-71-606-7893,Mauv Tayra,50 Pearson Parkway,Kuhn-Blanda,-8.0522759,114.1677159,7796,3896,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
4,2018-02-27 00:00:00,R-50-375-8044,"Puce Squirrel, grey-footed",02 Esker Road,"Padberg, Zemlak and Baumbach",-22.7106685,-43.5522256,4155,6778,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim.
5,2018-10-09 00:00:00,D-97-983-5571,"Teal Badger, european",37 Southridge Junction,Steuber Group,7.638859,123.198486,5505,7627,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
6,2018-09-29 00:00:00,W-80-423-4182,Fuscia Brown pelican,250 Eastwood Crossing,Cremin Inc,45.3639886,5.5949365,8463,3768,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio elementum eu interdum eu tincidunt in leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.
7,2019-01-04 00:00:00,M-42-707-6780,"Purple Capuchin, white-fronted",25 Fuller Park,Blanda-Conn,35.3985584,136.8331549,4216,4918,Ut at dolor quis odio consequat varius. Integer ac leo.
8,2018-12-18 00:00:00,P-55-856-7346,Yellow Kongoni,5451 Vernon Parkway,Treutel-Price,-28.2587812,-52.4160039,1504,5574,Praesent blandit. Nam nulla.
9,2018-08-31 00:00:00,J-91-229-5251,"Crimson Racer, blue",85 Moland Pass,Lang Inc,-7.3081882,109.228143,1854,316,Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.
10,2018-07-25 00:00:00,S-47-780-1979,Yellow Black-throated cardinal,335 Main Court,Kozey Group,22.801624,113.525165,4799,7508,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae
11,2017-07-13 00:00:00,C-97-278-6452,Orange Pallas's fish eagle,21 Waywood Trail,MacGyver Inc,44.8119628,15.8685645,6133,4761,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim. Lorem ipsum dolor sit amet consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.
12,2018-09-20 00:00:00,W-94-747-7410,"Aquamarine Ibis, sacred",9185 Merrick Trail,"Prohaska, Mosciski and Metz",30.4415185,-87.2518824,7516,268,In hac habitasse platea dictumst. Aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem.
13,2019-01-27 00:00:00,J-44-026-5400,"Red Raven, white-necked",32 Hagan Circle,"Lemke, Anderson and Runolfsson",41.2499754,-7.9522855,8505,7621,Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.
14,2017-06-07 00:00:00,X-69-740-2707,Blue Flying fox (unidentified),13 Stephen Place,Senger LLC,28.1562239,113.6293358,130,1192,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus.
15,2018-09-14 00:00:00,C-07-862-4473,"Maroon Porcupine, indian",482 Lukken Alley,Funk Group,32.777591,35.305683,4102,5577,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero convallis eget eleifend luctus ultricies eu nibh. Quisque id justo sit amet sapien dignissim vestibulum.
16,2018-04-08 00:00:00,D-50-589-3651,Khaki Violet-crested turaco,480 Prairieview Plaza,"Rutherford, Stehr and Schulist",0.9024684,120.6545022,1249,8108,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.
17,2018-04-05 00:00:00,T-90-354-6816,"Crimson Sparrow, rufous-collared",068 Mayfield Place,Hirthe Inc,-20.3253713,-48.310855,7032,7695,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo lacinia eget tincidunt eget tempus vel pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus auctor sed tristique in tempus sit amet sem. Fusce consequat.
18,2018-01-19 00:00:00,G-92-246-4501,Purple Snowy sheathbill,06108 Stang Circle,Kutch LLC,35.819227,108.019549,8354,3168,Lorem ipsum dolor sit amet consectetuer adipiscing elit. Proin risus. Praesent lectus.
19,2017-10-11 00:00:00,L-14-243-3167,Red Blue wildebeest,70593 Village Court,Prohaska-McLaughlin,36.7555943,139.5763839,4182,1864,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus. Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.
20,2018-06-10 00:00:00,Q-66-287-3899,"Blue Partridge, coqui",58 Crest Line Park,"Satterfield, Gislason and Dare",51.6522585,17.1688525,6182,892,Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus. Etiam vel augue.
21,2017-06-20 00:00:00,X-38-587-7064,Blue Sloth bear,6868 Roth Avenue,Tremblay-King,37.8246038,126.9836808,8219,252,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo lacinia eget tincidunt eget tempus vel pede.
22,2018-11-21 00:00:00,D-48-473-7769,"Orange Crane, blue",46157 Gulseth Crossing,"Heathcote, Douglas and Wintheiser",-8.2517133,111.4365318,497,3449,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis.
23,2018-07-30 00:00:00,M-75-744-6883,Maroon Curve-billed thrasher,639 Union Terrace,"Beer, Veum and Gerhold",10.142762,-85.454983,8579,887,Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus. Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem.
24,2018-02-08 00:00:00,W-00-118-7912,"Khaki Vulture, oriental white-backed",8869 Mariners Cove Crossing,Schultz Inc,-8.5894351,115.1417784,1117,3121,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.
25,2017-06-21 00:00:00,Y-54-776-5027,"Blue Monster, gila",2 Sachs Street,"Hermiston, Kertzmann and Cruickshank",12.9953534,15.7321831,7130,416,Morbi ut odio. Cras mi pede malesuada in imperdiet et commodo vulputate justo. In blandit ultrices enim. Lorem ipsum dolor sit amet consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl. Aenean lectus.
26,2018-08-18 00:00:00,N-41-626-9016,"Turquoise Buffalo, american",19 Manley Crossing,Mohr LLC,48.9563647,17.1329667,5744,781,Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
27,2018-10-17 00:00:00,P-77-623-4822,"Purple Tern, arctic",15290 Dottie Plaza,"Mohr, O'Kon and Ebert",-6.9918507,106.5878723,5664,6861,Donec posuere metus vitae ipsum.
28,2017-12-23 00:00:00,X-33-105-2726,Maroon House sparrow,171 Northview Park,Labadie Inc,50.2603928,71.5485944,621,6421,Nam dui. Proin leo odio porttitor id consequat in consequat ut nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.
29,2018-09-18 00:00:00,N-80-283-7441,"Teal Vulture, white-rumped",38 Mitchell Point,McGlynn-Bogisich,27.58237,110.897275,8640,683,Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus.
30,2017-10-03 00:00:00,P-27-068-1398,Yellow Blue and yellow macaw,1095 Algoma Crossing,Jacobs-King,-15.3612378,-70.3628516,3423,4313,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede venenatis non sodales sed tincidunt eu felis. Fusce posuere felis sed lacus.
